person_id,period_start,period_end,first_name,last_name,party,total_ballots,total_votes,avg_absence_rate,avg_yes_rate,avg_no_rate,avg_abstain_rate,avg_win_rate,avg_rebel_rate,violation_count,violation_types,absence_trend,win_rate_trend,rebel_rate_trend,ma_3month_absence,ma_3month_win_rate,ma_3month_rebel_rate,attendance_status,effectiveness_status,discipline_status,behavioral_assessment
0302393368216,2024-11-01 00:00:00+00,2024-11-30,Camilla,Rinaldo Miller,KD,18,6282,15.90,51.79,21.08,11.23,62.33,0.00,0,0,-0.94,12.33,0.00,15.62,70.78,0.00,MODERATE_ABSENTEEISM,EFFECTIVE,PARTY_LOYAL,MODERATE_RISK
025967059622,2024-05-01 00:00:00+00,2024-05-31,Magnus,Manhammar,S,86,30014,15.95,57.63,18.02,8.39,43.50,0.00,0,0,1.53,4.25,0.00,15.41,35.72,0.00,MODERATE_ABSENTEEISM,MODERATELY_EFFECTIVE,PARTY_LOYAL,MODERATE_RISK
0926214745119,2022-12-01 00:00:00+00,2022-12-31,Heléne,Björklund,S,10,3490,15.69,66.95,13.28,4.08,75.00,0.00,0,0,1.17,-16.50,0.00,15.11,83.25,0.00,MODERATE_ABSENTEEISM,EFFECTIVE,PARTY_LOYAL,MODERATE_RISK
0630820052511,2023-12-01 00:00:00+00,2023-12-31,Per-Arne,Håkansson,S,14,4886,14.79,58.37,22.38,4.47,36.00,0.00,0,0,-0.76,-8.25,0.00,14.95,26.75,0.00,LOW_ABSENTEEISM,LOW_EFFECTIVENESS,PARTY_LOYAL,STANDARD_BEHAVIOR
0972636989226,2024-02-01 00:00:00+00,2024-02-29,Dzenan,Cisija,S,42,14658,16.63,57.18,20.31,5.88,39.33,0.00,0,0,2.85,-10.17,0.00,15.07,41.61,0.00,MODERATE_ABSENTEEISM,LOW_EFFECTIVENESS,PARTY_LOYAL,MODERATE_RISK
0837394708917,2023-02-01 00:00:00+00,2023-02-28,Anders,Ådahl,C,23,8027,15.18,55.76,16.80,12.27,45.75,0.00,0,0,2.86,5.75,0.00,14.40,38.25,0.00,MODERATE_ABSENTEEISM,MODERATELY_EFFECTIVE,PARTY_LOYAL,MODERATE_RISK
0780214960516,2024-04-01 00:00:00+00,2024-04-30,Eva,Lindh,S,116,40484,14.42,56.45,18.62,10.52,28.38,0.00,0,0,-1.44,-7.02,0.00,15.64,34.37,0.00,LOW_ABSENTEEISM,LOW_EFFECTIVENESS,PARTY_LOYAL,STANDARD_BEHAVIOR
011548866929,2023-04-01 00:00:00+00,2023-04-30,Elin,Nilsson,L,104,36296,13.73,58.65,17.78,9.85,83.33,0.00,0,0,-0.58,-13.55,0.00,14.41,93.40,0.00,LOW_ABSENTEEISM,HIGHLY_EFFECTIVE,PARTY_LOYAL,STANDARD_BEHAVIOR
0236597884217,2024-04-01 00:00:00+00,2024-04-30,Rose-Marie,Carlsson,S,116,40484,14.42,56.45,18.62,10.52,41.25,0.00,0,0,-1.44,-14.15,0.00,15.64,45.33,0.00,LOW_ABSENTEEISM,MODERATELY_EFFECTIVE,PARTY_LOYAL,STANDARD_BEHAVIOR
091303475611,2022-12-01 00:00:00+00,2022-12-31,Eric,Palmqvist,SD,10,3490,15.69,66.95,13.28,4.08,100.00,0.00,0,0,1.17,56.50,0.00,15.11,71.75,0.00,MODERATE_ABSENTEEISM,HIGHLY_EFFECTIVE,PARTY_LOYAL,MODERATE_RISK
0828001951212,2023-02-01 00:00:00+00,2023-02-28,Ingemar,Kihlström,KD,23,8027,15.18,55.76,16.80,12.27,75.00,0.00,0,0,2.86,-25.00,0.00,14.40,83.33,0.00,MODERATE_ABSENTEEISM,EFFECTIVE,PARTY_LOYAL,MODERATE_RISK
0630820052511,2023-05-01 00:00:00+00,2023-05-31,Per-Arne,Håkansson,S,110,38390,14.30,58.29,17.15,10.27,55.50,0.00,0,0,0.57,5.00,0.00,14.11,54.42,0.00,LOW_ABSENTEEISM,MODERATELY_EFFECTIVE,PARTY_LOYAL,STANDARD_BEHAVIOR
0473783431010,2024-03-01 00:00:00+00,2024-03-31,Morgan,Johansson,S,53,18497,15.86,60.07,15.55,8.53,55.40,0.00,0,0,-0.77,16.07,0.00,15.42,48.08,0.00,MODERATE_ABSENTEEISM,MODERATELY_EFFECTIVE,PARTY_LOYAL,MODERATE_RISK
0245113256029,2023-04-01 00:00:00+00,2023-04-30,Daniel,Vencu Velasquez Castro,S,104,36296,13.73,58.65,17.78,9.85,43.50,0.00,0,0,-0.58,-6.88,0.00,14.41,45.46,0.00,LOW_ABSENTEEISM,MODERATELY_EFFECTIVE,PARTY_LOYAL,STANDARD_BEHAVIOR
0838085832923,2023-01-01 00:00:00+00,2023-01-31,Ann-Sofie,Lifvenhage,M,5,1745,12.32,62.98,23.78,0.92,100.00,0.00,0,0,-3.37,50.00,0.00,14.18,66.67,0.00,LOW_ABSENTEEISM,HIGHLY_EFFECTIVE,PARTY_LOYAL,STANDARD_BEHAVIOR
0502688311316,2023-01-01 00:00:00+00,2023-01-31,Anna,Vikström,S,5,1745,12.32,62.98,23.78,0.92,60.00,0.00,0,0,-3.37,-15.00,0.00,14.18,75.50,0.00,LOW_ABSENTEEISM,EFFECTIVE,PARTY_LOYAL,STANDARD_BEHAVIOR
0254695027922,2024-02-01 00:00:00+00,2024-02-29,Malcolm Momodou,Jallow,V,42,14658,16.63,57.18,20.31,5.88,0.00,0.00,0,0,2.85,0.00,0.00,15.07,2.78,0.00,MODERATE_ABSENTEEISM,LOW_EFFECTIVENESS,PARTY_LOYAL,MODERATE_RISK
0970259744617,2023-12-01 00:00:00+00,2023-12-31,Margareta,Cederfelt,M,14,4886,14.79,58.37,22.38,4.47,66.67,0.00,0,0,-0.76,16.67,0.00,14.95,72.22,0.00,LOW_ABSENTEEISM,EFFECTIVE,PARTY_LOYAL,STANDARD_BEHAVIOR
0652497579621,2024-12-01 00:00:00+00,2024-12-31,Johanna,Haraldsson,S,27,9423,14.01,61.21,21.44,3.34,24.40,0.00,0,0,-1.89,-12.93,0.00,15.58,45.41,0.00,LOW_ABSENTEEISM,LOW_EFFECTIVENESS,PARTY_LOYAL,STANDARD_BEHAVIOR
0926477102420,2023-03-01 00:00:00+00,2023-03-31,Cecilia,Rönn,L,80,27920,14.31,59.15,17.96,8.59,86.88,0.00,0,0,-0.87,-9.87,0.00,13.94,94.54,0.00,LOW_ABSENTEEISM,HIGHLY_EFFECTIVE,PARTY_LOYAL,STANDARD_BEHAVIOR
0773497241728,2024-10-01 00:00:00+00,2024-10-31,Roger,Hedlund,SD,16,5584,16.84,67.57,13.13,2.47,100.00,0.00,0,0,2.73,25.00,0.00,15.30,84.89,0.00,MODERATE_ABSENTEEISM,HIGHLY_EFFECTIVE,PARTY_LOYAL,MODERATE_RISK
0802091197024,2023-06-01 00:00:00+00,2023-06-30,Andrea,Andersson Tay,V,43,15007,12.91,63.19,15.94,7.95,40.20,0.00,0,0,-1.39,4.53,0.00,13.65,44.68,0.00,LOW_ABSENTEEISM,MODERATELY_EFFECTIVE,PARTY_LOYAL,STANDARD_BEHAVIOR
0828721176319,2024-06-01 00:00:00+00,2024-06-30,Sten,Bergheden,M,56,19544,14.95,55.48,19.24,10.34,100.00,0.00,0,0,-1.00,0.83,0.00,15.11,99.72,0.00,LOW_ABSENTEEISM,HIGHLY_EFFECTIVE,PARTY_LOYAL,STANDARD_BEHAVIOR
0475778011711,2024-06-01 00:00:00+00,2024-06-30,Hans,Ekström,S,56,19544,14.95,55.48,19.24,10.34,34.67,0.00,0,0,-1.00,-5.83,0.00,15.11,32.02,0.00,LOW_ABSENTEEISM,LOW_EFFECTIVENESS,PARTY_LOYAL,STANDARD_BEHAVIOR
0140985614421,2023-01-01 00:00:00+00,2023-01-31,Peder,Björk,S,5,1745,12.32,62.98,23.78,0.92,60.00,0.00,0,0,-3.37,-15.00,0.00,14.18,75.50,0.00,LOW_ABSENTEEISM,EFFECTIVE,PARTY_LOYAL,STANDARD_BEHAVIOR
0204240926023,2023-04-01 00:00:00+00,2023-04-30,Markus,Wiechel,SD,104,36296,13.73,58.65,17.78,9.85,21.33,0.00,0,0,-0.58,-13.42,0.00,14.41,24.53,0.00,LOW_ABSENTEEISM,LOW_EFFECTIVENESS,PARTY_LOYAL,STANDARD_BEHAVIOR
0792733370419,2024-02-01 00:00:00+00,2024-02-29,Magnus,Oscarsson,KD,42,14658,16.63,57.18,20.31,5.88,66.67,0.00,0,0,2.85,-33.33,0.00,15.07,88.89,0.00,MODERATE_ABSENTEEISM,EFFECTIVE,PARTY_LOYAL,MODERATE_RISK
0793372891224,2024-06-01 00:00:00+00,2024-06-30,Noria,Manouchi,M,56,19544,14.95,55.48,19.24,10.34,100.00,0.00,0,0,-1.00,34.17,0.00,15.11,80.28,0.00,LOW_ABSENTEEISM,HIGHLY_EFFECTIVE,PARTY_LOYAL,STANDARD_BEHAVIOR
0228027853620,2024-05-01 00:00:00+00,2024-05-31,Vasiliki,Tsouplaki,V,86,30014,15.95,57.63,18.02,8.39,55.50,0.83,0,0,1.53,12.00,0.83,15.41,55.33,0.28,MODERATE_ABSENTEEISM,MODERATELY_EFFECTIVE,PARTY_LOYAL,MODERATE_RISK
0409655917321,2024-11-01 00:00:00+00,2024-11-30,Jakob,Olofsgård,L,18,6282,15.90,51.79,21.08,11.23,95.67,0.00,0,0,-0.94,45.67,0.00,15.62,81.89,0.00,MODERATE_ABSENTEEISM,HIGHLY_EFFECTIVE,PARTY_LOYAL,MODERATE_RISK
0682989845822,2024-06-01 00:00:00+00,2024-06-30,Håkan,Svenneling,V,56,19544,14.95,55.48,19.24,10.34,39.00,1.33,0,0,-1.00,19.00,1.33,15.11,35.17,1.28,LOW_ABSENTEEISM,LOW_EFFECTIVENESS,PARTY_LOYAL,STANDARD_BEHAVIOR
0504851635310,2023-12-01 00:00:00+00,2023-12-31,Daniel,Helldén,MP,14,4886,14.79,58.37,22.38,4.47,52.67,0.00,0,0,-0.76,41.42,0.00,14.95,21.31,0.00,LOW_ABSENTEEISM,MODERATELY_EFFECTIVE,PARTY_LOYAL,STANDARD_BEHAVIOR
0729710260118,2024-05-01 00:00:00+00,2024-05-31,Helena,Bouveng,M,86,30014,15.95,57.63,18.02,8.39,65.83,0.00,0,0,1.53,-21.67,0.00,15.41,71.11,0.00,MODERATE_ABSENTEEISM,EFFECTIVE,PARTY_LOYAL,MODERATE_RISK
0970259744617,2022-11-01 00:00:00+00,2022-11-30,Margareta,Cederfelt,M,14,4886,14.52,74.40,10.61,0.48,0.00,0.00,0,0,,,,14.52,0.00,0.00,LOW_ABSENTEEISM,LOW_EFFECTIVENESS,PARTY_LOYAL,STANDARD_BEHAVIOR
0768554866215,2023-02-01 00:00:00+00,2023-02-28,Katja,Nyberg,SD,23,8027,15.18,55.76,16.80,12.27,55.75,0.00,0,0,2.86,-44.25,0.00,14.40,85.25,0.00,MODERATE_ABSENTEEISM,MODERATELY_EFFECTIVE,PARTY_LOYAL,MODERATE_RISK
0250583732424,2023-01-01 00:00:00+00,2023-01-31,Jesper,Skalberg Karlsson,M,5,1745,12.32,62.98,23.78,0.92,100.00,0.00,0,0,-3.37,6.25,0.00,14.18,97.92,0.00,LOW_ABSENTEEISM,HIGHLY_EFFECTIVE,PARTY_LOYAL,STANDARD_BEHAVIOR
0992473266516,2024-01-01 00:00:00+00,2024-01-31,Larry,Söder,KD,12,4188,13.78,64.69,17.08,4.47,50.00,0.00,0,0,-1.01,-16.67,0.00,14.71,63.89,0.00,LOW_ABSENTEEISM,MODERATELY_EFFECTIVE,PARTY_LOYAL,STANDARD_BEHAVIOR
0348383585915,2022-12-01 00:00:00+00,2022-12-31,Marielle,Lahti,MP,10,3490,15.69,66.95,13.28,4.08,37.50,0.00,0,0,1.17,-6.00,0.00,15.11,40.50,0.00,MODERATE_ABSENTEEISM,LOW_EFFECTIVENESS,PARTY_LOYAL,MODERATE_RISK
0859909330720,2023-12-01 00:00:00+00,2023-12-31,Sanna,Backeskog,S,14,4886,14.79,58.37,22.38,4.47,25.00,0.00,0,0,-0.76,-35.75,0.00,14.95,28.58,0.00,LOW_ABSENTEEISM,LOW_EFFECTIVENESS,PARTY_LOYAL,STANDARD_BEHAVIOR
014744660015,2024-05-01 00:00:00+00,2024-05-31,Mikael,Damberg,S,86,30014,15.95,57.63,18.02,8.39,51.33,0.00,0,0,1.53,10.08,0.00,15.41,45.99,0.00,MODERATE_ABSENTEEISM,MODERATELY_EFFECTIVE,PARTY_LOYAL,MODERATE_RISK
